technology_id,universe,ticker,name,confidence,total_return,spy_return,excess_return,start_date,end_date,delisted
31,all,NVDA,NVIDIA,direct,773.631329,5.386413,768.244917,2013-02-01,2026-08-31,0
31,all,GOOGL,Alphabet,direct,16.638822,5.386413,11.25241,2013-02-01,2026-08-31,0
31,all,MSFT,Microsoft,exposed,21.696799,5.386413,16.310387,2013-02-01,2026-08-31,0
31,all,IBM,IBM,direct,1.005708,5.386413,-4.380705,2013-02-01,2026-08-31,0
31,all,INTC,Intel,exposed,4.859905,5.386413,-0.526508,2013-02-01,2026-08-31,0
31,all,AMD,Advanced Micro Devices,direct,180.046154,5.386413,174.659742,2013-02-01,2026-08-31,0
31,all,BIDU,Baidu,exposed,-0.122733,5.386413,-5.509145,2013-02-01,2026-08-31,0
31,direct,NVDA,NVIDIA,direct,773.631329,5.386413,768.244917,2013-02-01,2026-08-31,0
31,direct,GOOGL,Alphabet,direct,16.638822,5.386413,11.25241,2013-02-01,2026-08-31,0
31,direct,IBM,IBM,direct,1.005708,5.386413,-4.380705,2013-02-01,2026-08-31,0
31,direct,AMD,Advanced Micro Devices,direct,180.046154,5.386413,174.659742,2013-02-01,2026-08-31,0
32,all,FSLR,First Solar,direct,6.126721,5.386413,0.740308,2013-02-01,2026-08-31,0
32,all,ENPH,Enphase Energy,exposed,7.92647,5.386413,2.540058,2013-02-01,2026-08-31,0
32,all,CSIQ,Canadian Solar,direct,1.680435,5.386413,-3.705978,2013-02-01,2026-08-31,0
32,all,ARRY,Array Technologies,exposed,-0.880384,1.387343,-2.267727,2020-10-15,2026-09-01,0
32,direct,FSLR,First Solar,direct,6.126721,5.386413,0.740308,2013-02-01,2026-08-31,0
32,direct,CSIQ,Canadian Solar,direct,1.680435,5.386413,-3.705978,2013-02-01,2026-08-31,0
34,all,META,Meta Platforms,exposed,18.42032,5.386413,13.033907,2013-02-01,2026-08-31,0
34,all,SNAP,Snap,direct,-0.773284,2.738258,-3.511543,2017-03-02,2026-08-31,0
34,direct,SNAP,Snap,direct,-0.773284,2.738258,-3.511543,2017-03-02,2026-08-31,0
35,all,AAPL,Apple,exposed,22.147849,5.386413,16.761437,2013-02-01,2026-08-31,0
35,all,GRMN,Garmin,direct,10.160684,5.386413,4.774271,2013-02-01,2026-08-31,0
35,all,FIT,Fitbit,direct,,1.925868,,,,1
35,direct,GRMN,Garmin,direct,10.160684,5.386413,4.774271,2013-02-01,2026-08-31,0
35,direct,FIT,Fitbit,direct,,1.925868,,,,1
36,all,DE,Deere & Company,direct,8.695268,4.435854,4.259414,2014-02-03,2026-08-31,0
36,all,HON,Honeywell,exposed,2.31641,4.435854,-2.119444,2014-02-03,2026-08-31,0
36,all,TRMB,Trimble,direct,0.91488,4.435854,-3.520974,2014-02-03,2026-09-01,0
36,all,AGCO,AGCO,exposed,1.970831,4.435854,-2.465023,2014-02-03,2026-09-01,0
36,direct,DE,Deere & Company,direct,8.695268,4.435854,4.259414,2014-02-03,2026-08-31,0
36,direct,TRMB,Trimble,direct,0.91488,4.435854,-3.520974,2014-02-03,2026-09-01,0
39,all,NVDA,NVIDIA,exposed,604.379257,4.435854,599.943404,2014-02-03,2026-08-31,0
39,all,IBM,IBM,direct,1.334861,4.435854,-3.100993,2014-02-03,2026-08-31,0
39,all,INTC,Intel,direct,4.025693,4.435854,-0.41016,2014-02-03,2026-08-31,0
39,direct,IBM,IBM,direct,1.334861,4.435854,-3.100993,2014-02-03,2026-08-31,0
39,direct,INTC,Intel,direct,4.025693,4.435854,-0.41016,2014-02-03,2026-08-31,0
40,all,CRSP,CRISPR Therapeutics,direct,3.044003,3.181282,-0.137279,2016-10-19,2026-08-31,0
40,all,EDIT,Editas Medicine,direct,-0.831868,3.756103,-4.587971,2016-02-03,2026-08-31,0
40,all,NTLA,Intellia Therapeutics,direct,-0.423982,3.400027,-3.824009,2016-05-06,2026-08-31,0
40,all,VRTX,Vertex Pharmaceuticals,exposed,6.014299,4.435854,1.578446,2014-02-03,2026-08-31,0
40,all,BEAM,Beam Therapeutics,direct,0.547733,1.519634,-0.9719,2020-02-06,2026-09-01,0
40,all,PRME,Prime Medicine,direct,-0.767729,1.205421,-1.973151,2022-10-20,2026-09-01,0
40,direct,CRSP,CRISPR Therapeutics,direct,3.044003,3.181282,-0.137279,2016-10-19,2026-08-31,0
40,direct,EDIT,Editas Medicine,direct,-0.831868,3.756103,-4.587971,2016-02-03,2026-08-31,0
40,direct,NTLA,Intellia Therapeutics,direct,-0.423982,3.400027,-3.824009,2016-05-06,2026-08-31,0
40,direct,BEAM,Beam Therapeutics,direct,0.547733,1.519634,-0.9719,2020-02-06,2026-09-01,0
40,direct,PRME,Prime Medicine,direct,-0.767729,1.205421,-1.973151,2022-10-20,2026-09-01,0
43,all,META,Meta Platforms,direct,8.39112,4.435854,3.955267,2014-02-03,2026-08-31,0
43,all,AAPL,Apple,exposed,19.423523,4.435854,14.987669,2014-02-03,2026-08-31,0
43,all,SNAP,Snap,exposed,-0.773284,2.738258,-3.511543,2017-03-02,2026-08-31,0
43,all,U,Unity Software,exposed,-0.401317,1.509002,-1.910319,2020-09-18,2026-09-01,0
43,direct,META,Meta Platforms,direct,8.39112,4.435854,3.955267,2014-02-03,2026-08-31,0
45,all,FSLR,First Solar,direct,3.175801,4.435854,-1.260052,2014-02-03,2026-08-31,0
45,all,ENPH,Enphase Energy,direct,4.476691,4.435854,0.040838,2014-02-03,2026-08-31,0
45,all,RUN,Sunrun,exposed,-0.204271,3.379566,-3.583837,2015-08-05,2026-08-31,0
45,direct,FSLR,First Solar,direct,3.175801,4.435854,-1.260052,2014-02-03,2026-08-31,0
45,direct,ENPH,Enphase Energy,direct,4.476691,4.435854,0.040838,2014-02-03,2026-08-31,0
46,all,META,Meta Platforms,exposed,6.699242,3.598936,3.100305,2015-02-02,2026-08-31,0
46,all,SNAP,Snap,exposed,-0.773284,2.738258,-3.511543,2017-03-02,2026-08-31,0
49,all,GOOGL,Alphabet,direct,11.865806,3.598936,8.26687,2015-02-02,2026-08-31,0
49,direct,GOOGL,Alphabet,direct,11.865806,3.598936,8.26687,2015-02-02,2026-08-31,0
50,all,ILMN,Illumina,exposed,0.127543,3.598936,-3.471393,2015-02-02,2026-08-31,0
50,all,GH,Guardant Health,direct,3.938509,1.979715,1.958794,2018-10-04,2026-08-31,0
50,all,EXAS,Exact Sciences,direct,,3.598936,,,,0
50,all,NTRA,Natera,direct,16.886666,3.433809,13.452857,2015-07-01,2026-08-31,0
50,all,CDNA,CareDx,direct,5.946099,3.598936,2.347163,2015-02-02,2026-09-01,0
50,all,GRAL,GRAIL,direct,4.841142,0.455116,4.386026,2024-06-12,2026-09-01,0
50,all,VCYT,Veracyte,exposed,4.296341,3.598936,0.697405,2015-02-02,2026-09-01,0
50,direct,GH,Guardant Health,direct,3.938509,1.979715,1.958794,2018-10-04,2026-08-31,0
50,direct,EXAS,Exact Sciences,direct,,3.598936,,,,0
50,direct,NTRA,Natera,direct,16.886666,3.433809,13.452857,2015-07-01,2026-08-31,0
50,direct,CDNA,CareDx,direct,5.946099,3.598936,2.347163,2015-02-02,2026-09-01,0
50,direct,GRAL,GRAIL,direct,4.841142,0.455116,4.386026,2024-06-12,2026-09-01,0
52,all,AAPL,Apple,direct,11.08065,3.598936,7.481714,2015-02-02,2026-08-31,0
52,all,V,Visa,exposed,5.457616,3.598936,1.85868,2015-02-02,2026-08-31,0
52,all,MA,Mastercard,exposed,6.618586,3.598936,3.01965,2015-02-02,2026-08-31,0
52,direct,AAPL,Apple,direct,11.08065,3.598936,7.481714,2015-02-02,2026-08-31,0
55,all,ILMN,Illumina,direct,0.127543,3.598936,-3.471393,2015-02-02,2026-08-31,0
55,direct,ILMN,Illumina,direct,0.127543,3.598936,-3.471393,2015-02-02,2026-08-31,0
58,all,GOOGL,Alphabet,direct,7.883559,3.698385,4.185174,2016-02-01,2026-08-31,0
58,all,MSFT,Microsoft,exposed,9.656757,3.698385,5.958372,2016-02-01,2026-08-31,0
58,all,AMZN,Amazon,direct,8.038465,3.698385,4.340079,2016-02-01,2026-08-31,0
58,all,AAPL,Apple,exposed,13.612862,3.698385,9.914477,2016-02-01,2026-08-31,0
58,all,SOUN,SoundHound AI,direct,-0.086667,0.899649,-0.986316,2022-04-28,2026-09-01,0
58,direct,GOOGL,Alphabet,direct,7.883559,3.698385,4.185174,2016-02-01,2026-08-31,0
58,direct,AMZN,Amazon,direct,8.038465,3.698385,4.340079,2016-02-01,2026-08-31,0
58,direct,SOUN,SoundHound AI,direct,-0.086667,0.899649,-0.986316,2022-04-28,2026-09-01,0
59,all,RKLB,Rocket Lab,exposed,5.559934,1.284019,4.275915,2020-11-24,2026-08-31,0
59,all,BA,Boeing,direct,0.905905,3.698385,-2.79248,2016-02-01,2026-08-31,0
59,all,LMT,Lockheed Martin,exposed,2.535553,3.698385,-1.162832,2016-02-01,2026-08-31,0
59,all,LUNR,Intuitive Machines,exposed,0.525389,0.747506,-0.222118,2021-11-17,2026-09-01,0
59,all,RDW,Redwire,exposed,-0.014409,1.182742,-1.197151,2021-01-14,2026-09-01,0
59,direct,BA,Boeing,direct,0.905905,3.698385,-2.79248,2016-02-01,2026-08-31,0
62,all,TSLA,Tesla,direct,27.025035,3.698385,23.326649,2016-02-01,2026-08-31,0
62,direct,TSLA,Tesla,direct,27.025035,3.698385,23.326649,2016-02-01,2026-08-31,0
63,all,MSFT,Microsoft,exposed,9.656757,3.698385,5.958372,2016-02-01,2026-08-31,0
63,all,CRM,Salesforce,exposed,2.828106,3.698385,-0.87028,2016-02-01,2026-08-31,0
63,all,WORK,Slack Technologies,direct,,1.487739,,,,1
63,direct,WORK,Slack Technologies,direct,,1.487739,,,,1
64,all,TSLA,Tesla,direct,27.025035,3.698385,23.326649,2016-02-01,2026-08-31,0
64,all,GM,General Motors,exposed,2.579503,3.698385,-1.118882,2016-02-01,2026-08-31,0
64,all,MBLY,Mobileye,exposed,-0.705557,1.109531,-1.815088,2022-10-26,2026-08-31,0
64,all,AUR,Aurora Innovation,direct,-0.454,0.970099,-1.424099,2021-05-10,2026-09-01,0
64,direct,TSLA,Tesla,direct,27.025035,3.698385,23.326649,2016-02-01,2026-08-31,0
64,direct,AUR,Aurora Innovation,direct,-0.454,0.970099,-1.424099,2021-05-10,2026-09-01,0
66,all,TSLA,Tesla,exposed,21.144321,2.913167,18.231154,2017-02-01,2026-08-31,0
66,all,GM,General Motors,exposed,1.843049,2.913167,-1.070117,2017-02-01,2026-08-31,0
66,all,AUR,Aurora Innovation,direct,-0.454,0.970099,-1.424099,2021-05-10,2026-09-01,0
66,direct,AUR,Aurora Innovation,direct,-0.454,0.970099,-1.424099,2021-05-10,2026-09-01,0
68,all,GOOGL,Alphabet,direct,7.398977,2.913167,4.48581,2017-02-01,2026-08-31,0
68,all,IBM,IBM,direct,1.109445,2.913167,-1.803722,2017-02-01,2026-08-31,0
68,all,IONQ,IonQ,exposed,2.639815,1.239975,1.39984,2021-01-04,2026-08-31,0
68,all,RGTI,Rigetti Computing,exposed,0.581818,0.997195,-0.415377,2021-04-22,2026-08-31,0
68,all,QBTS,D-Wave Quantum,exposed,0.629557,1.264815,-0.635258,2020-12-11,2026-09-01,0
68,direct,GOOGL,Alphabet,direct,7.398977,2.913167,4.48581,2017-02-01,2026-08-31,0
68,direct,IBM,IBM,direct,1.109445,2.913167,-1.803722,2017-02-01,2026-08-31,0
71,all,VRTX,Vertex Pharmaceuticals,exposed,5.314008,2.913167,2.400841,2017-02-01,2026-08-31,0
71,all,SRPT,Sarepta Therapeutics,direct,-0.27732,2.913167,-3.190486,2017-02-01,2026-08-31,0
71,all,BMRN,BioMarin,direct,-0.263687,2.913167,-3.176853,2017-02-01,2026-08-31,0
71,all,QURE,uniQure,direct,7.367133,2.913167,4.453966,2017-02-01,2026-09-01,0
71,all,RGNX,REGENXBIO,direct,-0.500268,2.913167,-3.413435,2017-02-01,2026-09-01,0
71,direct,SRPT,Sarepta Therapeutics,direct,-0.27732,2.913167,-3.190486,2017-02-01,2026-08-31,0
71,direct,BMRN,BioMarin,direct,-0.263687,2.913167,-3.176853,2017-02-01,2026-08-31,0
71,direct,QURE,uniQure,direct,7.367133,2.913167,4.453966,2017-02-01,2026-09-01,0
71,direct,RGNX,REGENXBIO,direct,-0.500268,2.913167,-3.413435,2017-02-01,2026-09-01,0
74,all,NVDA,NVIDIA,exposed,77.770217,2.913167,74.85705,2017-02-01,2026-08-31,0
74,all,GOOGL,Alphabet,direct,7.398977,2.913167,4.48581,2017-02-01,2026-08-31,0
74,all,MSFT,Microsoft,exposed,7.925135,2.913167,5.011968,2017-02-01,2026-08-31,0
74,all,TSLA,Tesla,exposed,21.144321,2.913167,18.231154,2017-02-01,2026-08-31,0
74,direct,GOOGL,Alphabet,direct,7.398977,2.913167,4.48581,2017-02-01,2026-08-31,0
75,all,DDD,3D Systems,direct,-0.679688,2.102951,-2.782638,2018-02-01,2026-08-31,0
75,all,SSYS,Stratasys,direct,-0.637172,2.102951,-2.740123,2018-02-01,2026-08-31,0
75,all,HON,Honeywell,exposed,0.68844,2.102951,-1.41451,2018-02-01,2026-08-31,0
75,all,MTLS,Materialise,direct,-0.463526,2.102951,-2.566476,2018-02-01,2026-09-01,0
75,direct,DDD,3D Systems,direct,-0.679688,2.102951,-2.782638,2018-02-01,2026-08-31,0
75,direct,SSYS,Stratasys,direct,-0.637172,2.102951,-2.740123,2018-02-01,2026-08-31,0
75,direct,MTLS,Materialise,direct,-0.463526,2.102951,-2.566476,2018-02-01,2026-09-01,0
78,all,GOOGL,Alphabet,direct,4.794888,2.102951,2.691938,2018-02-01,2026-08-31,0
78,all,MSFT,Microsoft,direct,4.88867,2.102951,2.78572,2018-02-01,2026-08-31,0
78,all,AMZN,Amazon,direct,2.737698,2.102951,0.634747,2018-02-01,2026-08-31,0
78,all,CRM,Salesforce,exposed,1.323892,2.102951,-0.779059,2018-02-01,2026-08-31,0
78,all,PATH,UiPath,direct,-0.737101,0.978954,-1.716055,2021-04-21,2026-09-01,0
78,all,AI,C3.ai,direct,-0.888204,1.261418,-2.149623,2020-12-09,2026-09-01,0
78,direct,GOOGL,Alphabet,direct,4.794888,2.102951,2.691938,2018-02-01,2026-08-31,0
78,direct,MSFT,Microsoft,direct,4.88867,2.102951,2.78572,2018-02-01,2026-08-31,0
