technology_id,universe,as_of,n_companies,n_with_prices,cohort_mean_return,cohort_median_return,mean_benchmark_return,mean_excess_return,median_excess_return,dispersion,hit_rate,window_years,window_short,verdict,prediction_score
34,all,2026-09-02,2,2,8.82352,8.82352,4.06234,4.76118,4.76118,9.5968,0.5,13.58,0,beat,70.4
34,direct,2026-09-02,1,1,-0.773284,-0.773284,2.73826,-3.51154,-3.51154,,0.0,13.58,0,insufficient,
35,all,2026-09-02,3,2,16.1543,16.1543,4.2329,10.7679,10.7679,5.99358,1.0,13.58,0,beat,74.6
35,direct,2026-09-02,2,1,10.1607,10.1607,3.65614,4.77427,4.77427,,1.0,13.58,0,insufficient,
36,all,2026-09-02,4,4,3.47435,2.14362,4.43585,-0.961507,-2.29223,3.0582,0.25,12.58,0,lag,33.0
36,direct,2026-09-02,2,2,4.80507,4.80507,4.43585,0.36922,0.36922,3.89019,0.5,12.58,0,beat,56.4
37,all,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
37,direct,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
38,all,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
38,direct,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
39,all,2026-09-02,3,3,203.247,4.02569,4.43585,198.811,-0.41016,283.646,0.333333,12.58,0,mixed,71.3
39,direct,2026-09-02,2,2,2.68028,2.68028,4.43585,-1.75558,-1.75558,1.34542,0.0,12.58,0,lag,32.6
40,all,2026-09-02,6,6,1.26374,0.0618757,2.91639,-1.65264,-1.47253,2.50389,0.166667,12.58,0,lag,25.6
40,direct,2026-09-02,5,5,0.313631,-0.423982,2.61249,-2.29886,-1.97315,1.45157,0.0,12.58,0,lag,24.3
41,all,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
41,direct,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
42,all,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
42,direct,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
43,all,2026-09-02,4,4,6.66001,3.9949,3.27974,3.38027,1.02247,8.23135,0.5,12.58,0,beat,76.5
43,direct,2026-09-02,1,1,8.39112,8.39112,4.43585,3.95527,3.95527,,1.0,12.58,0,insufficient,
44,all,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
44,direct,2026-09-02,0,0,,,,,,,,12.58,0,insufficient,
45,all,2026-09-02,3,3,2.48274,3.1758,4.08376,-1.60102,-1.26005,1.97283,0.333333,12.58,0,lag,28.9
45,direct,2026-09-02,2,2,3.82625,3.82625,4.43585,-0.609607,-0.609607,0.650445,0.5,12.58,0,lag,38.1
46,all,2026-09-02,2,2,2.96298,2.96298,3.1686,-0.205619,-0.205619,3.73626,0.5,11.58,0,lag,46.3
46,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
47,all,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
47,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
48,all,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
48,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
49,all,2026-09-02,1,1,11.8658,11.8658,3.59894,8.26687,8.26687,,1.0,11.58,0,insufficient,
49,direct,2026-09-02,1,1,11.8658,11.8658,3.59894,8.26687,8.26687,,1.0,11.58,0,insufficient,
50,all,2026-09-02,7,6,6.00605,4.56874,2.89491,3.22848,2.15298,5.18818,0.833333,11.58,0,beat,83.5
50,direct,2026-09-02,5,4,7.9031,5.39362,2.6133,5.53621,3.36659,5.23517,1.0,11.58,0,beat,81.9
51,all,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
51,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
52,all,2026-09-02,3,3,7.71895,6.61859,3.59894,4.12001,3.01965,2.42387,1.0,11.58,0,beat,79.8
52,direct,2026-09-02,1,1,11.0807,11.0807,3.59894,7.48171,7.48171,,1.0,11.58,0,insufficient,
53,all,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
53,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
54,all,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
54,direct,2026-09-02,0,0,,,,,,,,11.58,0,insufficient,
55,all,2026-09-02,1,1,0.127543,0.127543,3.59894,-3.47139,-3.47139,,0.0,11.58,0,insufficient,
55,direct,2026-09-02,1,1,0.127543,0.127543,3.59894,-3.47139,-3.47139,,0.0,11.58,0,insufficient,
56,all,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
56,direct,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
57,all,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
57,direct,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
58,all,2026-09-02,5,5,7.821,8.03846,3.13864,4.68236,4.34008,4.4609,0.8,10.58,0,beat,83.6
58,direct,2026-09-02,3,3,5.27845,7.88356,2.76547,2.51298,4.18517,3.79424,0.666667,10.58,0,beat,75.2
59,all,2026-09-02,5,5,1.90247,0.905905,2.12221,-0.219733,-1.16283,2.01702,0.2,10.58,0,lag,44.8
59,direct,2026-09-02,1,1,0.905905,0.905905,3.69839,-2.79248,-2.79248,,0.0,10.58,0,insufficient,
60,all,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
60,direct,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
61,all,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
61,direct,2026-09-02,0,0,,,,,,,,10.58,0,insufficient,
62,all,2026-09-02,1,1,27.025,27.025,3.69839,23.3266,23.3266,,1.0,10.58,0,insufficient,
62,direct,2026-09-02,1,1,27.025,27.025,3.69839,23.3266,23.3266,,1.0,10.58,0,insufficient,
63,all,2026-09-02,3,2,6.24243,6.24243,2.9615,2.54405,2.54405,3.41433,0.5,10.58,0,beat,71.1
63,direct,2026-09-02,1,0,,,1.48774,,,,,10.58,0,insufficient,
64,all,2026-09-02,4,4,7.11125,1.06275,2.3691,4.74214,-1.27149,11.5697,0.25,10.58,0,mixed,74.0
64,direct,2026-09-02,2,2,13.2855,13.2855,2.33424,10.9513,10.9513,13.7395,0.5,10.58,0,beat,70.2
65,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
65,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
66,all,2026-09-02,3,3,7.51112,1.84305,2.26548,5.24565,-1.07012,9.68563,0.333333,9.58,0,mixed,72.1
66,direct,2026-09-02,1,1,-0.454,-0.454,0.970099,-1.4241,-1.4241,,0.0,9.58,0,insufficient,
67,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
67,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
68,all,2026-09-02,5,5,2.47192,1.10944,1.86566,0.606259,-0.415377,2.57399,0.4,9.58,0,mixed,64.1
68,direct,2026-09-02,2,2,4.25421,4.25421,2.91317,1.34104,1.34104,3.14477,0.5,9.58,0,beat,67.6
69,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
69,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
70,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
70,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
71,all,2026-09-02,5,5,2.32797,-0.263687,2.91317,-0.585193,-3.17685,3.34104,0.4,9.58,0,lag,36.5
71,direct,2026-09-02,4,4,1.58146,-0.270503,2.91317,-1.3317,-3.18367,3.34168,0.25,9.58,0,lag,29.6
72,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
72,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
73,all,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
73,direct,2026-09-02,0,0,,,,,,,,9.58,0,insufficient,
74,all,2026-09-02,4,4,28.5597,14.5347,2.91317,25.6465,11.6216,28.9406,1.0,9.58,0,beat,80.5
74,direct,2026-09-02,1,1,7.39898,7.39898,2.91317,4.48581,4.48581,,1.0,9.58,0,insufficient,
75,all,2026-09-02,4,4,-0.272986,-0.550349,2.10295,-2.37594,-2.6533,0.560955,0.0,8.58,0,lag,24.8
75,direct,2026-09-02,3,3,-0.593462,-0.637172,2.10295,-2.69641,-2.74012,0.0935037,0.0,8.58,0,lag,24.8
76,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
76,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
77,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
77,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
78,all,2026-09-02,6,6,2.01997,2.03079,1.77536,0.244611,-0.0721558,2.34479,0.5,8.58,0,beat,56.3
78,direct,2026-09-02,5,5,2.15919,2.7377,1.70984,0.449345,0.634747,2.54585,0.6,8.58,0,beat,61.6
79,all,2026-09-02,3,3,12.8785,1.99014,2.10295,10.7755,-0.112811,16.4861,0.333333,8.58,0,mixed,71.8
79,direct,2026-09-02,1,1,36.1768,36.1768,2.10295,34.0739,34.0739,,1.0,8.58,0,insufficient,
80,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
80,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
81,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
81,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
82,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
82,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
83,all,2026-09-02,3,3,11.8016,5.90461,2.10295,9.69863,3.80166,12.7806,0.666667,8.58,0,beat,74.6
83,direct,2026-09-02,1,1,-0.0463692,-0.0463692,2.10295,-2.14932,-2.14932,,0.0,8.58,0,insufficient,
84,all,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
84,direct,2026-09-02,0,0,,,,,,,,8.58,0,insufficient,
85,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
85,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
86,all,2026-09-02,6,6,4.40243,4.43066,1.52167,2.88076,3.56687,2.80041,0.833333,7.58,0,beat,84.3
86,direct,2026-09-02,1,1,2.56828,2.56828,2.175,0.393271,0.393271,,1.0,7.58,0,insufficient,
87,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
87,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
88,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
88,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
89,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
89,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
90,all,2026-09-02,3,3,-0.55285,-0.797719,1.69651,-2.24936,-2.07222,0.468523,0.0,7.58,0,lag,27.2
90,direct,2026-09-02,2,2,-0.880666,-0.880666,1.45726,-2.33793,-2.33793,0.0829476,0.0,7.58,0,lag,27.6
91,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
91,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
92,all,2026-09-02,2,2,3.72037,3.72037,2.175,1.54536,1.54536,3.3061,0.5,7.58,0,beat,68.7
92,direct,2026-09-02,2,2,3.72037,3.72037,2.175,1.54536,1.54536,3.3061,0.5,7.58,0,beat,68.7
93,all,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
93,direct,2026-09-02,0,0,,,,,,,,7.58,0,insufficient,
94,all,2026-09-02,4,4,2.88445,3.25169,1.85617,1.02829,1.07668,2.02077,0.75,7.58,0,beat,71.8
94,direct,2026-09-02,3,3,2.40973,2.19475,1.74989,0.659841,0.0197466,2.13149,0.666667,7.58,0,beat,63.6
95,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
95,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
96,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
96,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
97,all,2026-09-02,6,6,1.44147,-0.123199,1.3046,0.136868,-1.43872,3.00794,0.333333,6.58,0,mixed,53.3
97,direct,2026-09-02,3,3,-0.263487,-0.274218,1.45589,-1.71938,-1.56846,0.233594,0.0,6.58,0,lag,27.7
98,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
98,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
99,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
99,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
100,all,2026-09-02,4,4,2.97007,2.89748,1.30602,1.66405,1.54285,2.27747,0.5,6.58,0,beat,75.2
100,direct,2026-09-02,1,1,0.890855,0.890855,1.59628,-0.705428,-0.705428,,0.0,6.58,0,insufficient,
101,all,2026-09-02,4,4,2.02419,1.92442,1.42434,0.59985,0.506291,1.17578,0.5,6.58,0,beat,63.9
101,direct,2026-09-02,2,2,2.41369,2.41369,1.59628,0.81741,0.81741,1.20467,0.5,6.58,0,beat,64.1
102,all,2026-09-02,4,4,12.3117,6.03435,1.59628,10.7154,4.43807,13.9294,0.75,6.58,0,beat,78.6
102,direct,2026-09-02,3,3,13.4814,3.26613,1.59628,11.8852,1.66984,15.9133,0.666667,6.58,0,beat,74.5
103,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
103,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
104,all,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
104,direct,2026-09-02,0,0,,,,,,,,6.58,0,insufficient,
105,all,2026-09-02,4,4,-0.282921,-0.111027,1.19568,-1.4786,-1.30671,0.399666,0.0,5.58,0,lag,27.5
105,direct,2026-09-02,3,3,-0.0555359,-0.108839,1.19568,-1.25121,-1.30452,0.0784961,0.0,5.58,0,lag,29.8
106,all,2026-09-02,6,6,5.87749,3.5526,1.19568,4.68181,2.35692,5.51752,0.833333,5.58,0,beat,83.7
106,direct,2026-09-02,1,1,1.22005,1.22005,1.19568,0.0243695,0.0243695,,1.0,5.58,0,insufficient,
107,all,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
107,direct,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
108,all,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
108,direct,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
109,all,2026-09-02,3,3,-0.229484,-0.134916,1.19568,-1.42516,-1.33059,0.487301,0.0,5.58,0,lag,30.2
109,direct,2026-09-02,1,1,-0.867942,-0.867942,1.19568,-2.06362,-2.06362,,0.0,5.58,0,insufficient,
110,all,2026-09-02,3,3,1.29695,0.318755,1.19568,0.101267,-0.876924,2.35122,0.333333,5.58,0,mixed,52.0
110,direct,2026-09-02,2,2,1.78604,1.78604,1.19568,0.590363,0.590363,2.75221,0.5,5.58,0,beat,60.1
111,all,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
111,direct,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
112,all,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
112,direct,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
113,all,2026-09-02,5,5,0.0405915,0.14679,1.15233,-1.11174,-1.04889,0.736939,0.2,5.58,0,lag,27.7
113,direct,2026-09-02,2,2,0.234262,0.234262,1.19568,-0.961417,-0.961417,0.985787,0.5,5.58,0,lag,33.8
114,all,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
114,direct,2026-09-02,0,0,,,,,,,,5.58,0,insufficient,
115,all,2026-09-02,3,3,0.475212,0.70881,0.799787,-0.324576,-0.0909776,0.439878,0.333333,4.58,0,lag,42.7
115,direct,2026-09-02,1,1,-0.1409,-0.1409,0.799787,-0.940687,-0.940687,,0.0,4.58,0,insufficient,
116,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
116,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
117,all,2026-09-02,3,3,-0.331729,-0.435804,0.799787,-1.13152,-1.23559,0.386765,0.0,4.58,0,lag,32.1
117,direct,2026-09-02,2,2,-0.125231,-0.125231,0.799787,-0.925018,-0.925018,0.310573,0.0,4.58,0,lag,35.7
118,all,2026-09-02,3,3,-0.459355,-0.340548,0.799787,-1.25914,-1.14034,0.188128,0.0,4.58,0,lag,30.3
118,direct,2026-09-02,2,2,-0.532734,-0.532734,0.799787,-1.33252,-1.33252,0.192186,0.0,4.58,0,lag,31.8
119,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
119,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
120,all,2026-09-02,2,2,1.25774,1.25774,0.799787,0.45795,0.45795,1.30634,0.5,4.58,0,beat,58.6
120,direct,2026-09-02,1,1,-0.0486016,-0.0486016,0.799787,-0.848389,-0.848389,,0.0,4.58,0,insufficient,
121,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
121,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
122,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
122,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
123,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
123,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
124,all,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
124,direct,2026-09-02,0,0,,,,,,,,4.58,0,insufficient,
125,all,2026-09-02,5,4,0.0410718,0.0765013,0.883052,-0.911702,-0.876272,0.503811,0.0,3.58,0,lag,33.1
125,direct,2026-09-02,3,2,-0.308062,-0.308062,0.836572,-1.26084,-1.26084,0.396921,0.0,3.58,0,lag,33.0
126,all,2026-09-02,4,4,3.20126,1.73852,0.952773,2.24849,0.785747,3.79157,0.75,3.58,0,beat,78.7
126,direct,2026-09-02,3,3,1.07989,1.06811,0.952773,0.127118,0.115334,1.08038,0.666667,3.58,0,beat,53.0
127,all,2026-09-02,4,4,4.98426,4.08925,0.952773,4.03149,3.13647,2.776,1.0,3.58,0,beat,83.0
127,direct,2026-09-02,2,2,7.0634,7.0634,0.952773,6.11063,6.11063,2.50197,1.0,3.58,0,beat,76.2
128,all,2026-09-02,2,2,0.462682,0.462682,0.952773,-0.490092,-0.490092,0.129653,0.0,3.58,0,lag,41.1
128,direct,2026-09-02,1,1,0.592335,0.592335,0.952773,-0.360438,-0.360438,,0.0,3.58,0,insufficient,
129,all,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
129,direct,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
130,all,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
130,direct,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
131,all,2026-09-02,5,5,0.297771,0.328254,0.952773,-0.655002,-0.624519,0.813076,0.4,3.58,0,lag,33.7
131,direct,2026-09-02,3,3,-0.0386537,-0.185185,0.952773,-0.991427,-1.13796,0.817915,0.333333,3.58,0,lag,32.2
132,all,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
132,direct,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
133,all,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
133,direct,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
134,all,2026-09-02,2,2,0.262193,0.262193,0.952773,-0.690581,-0.690581,0.766086,0.5,3.58,0,lag,37.1
134,direct,2026-09-02,0,0,,,,,,,,3.58,0,insufficient,
135,all,2026-09-02,9,9,1.61699,0.462501,0.615268,1.00172,-0.152767,3.23955,0.444444,2.58,0,mixed,70.7
135,direct,2026-09-02,5,5,0.683408,0.283174,0.615268,0.0681396,-0.332094,1.1368,0.4,2.58,0,mixed,51.8
136,all,2026-09-02,4,4,-0.376689,-0.594871,0.615268,-0.991957,-1.21014,0.431883,0.0,2.58,0,lag,31.9
136,direct,2026-09-02,2,2,-0.144693,-0.144693,0.615268,-0.759962,-0.759962,0.509897,0.0,2.58,0,lag,38.1
137,all,2026-09-02,3,3,0.486259,0.462501,0.615268,-0.129009,-0.152767,0.178941,0.333333,2.58,0,lag,46.9
137,direct,2026-09-02,1,1,0.716327,0.716327,0.615268,0.101059,0.101059,,1.0,2.58,0,insufficient,
138,all,2026-09-02,5,5,0.256938,0.405845,0.615268,-0.35833,-0.209423,0.452305,0.2,2.58,0,lag,40.9
138,direct,2026-09-02,3,3,0.205828,0.405845,0.615268,-0.40944,-0.209423,0.572017,0.333333,2.58,0,lag,41.1
139,all,2026-09-02,1,1,0.64124,0.64124,0.615268,0.0259716,0.0259716,,1.0,2.58,0,insufficient,
139,direct,2026-09-02,1,1,0.64124,0.64124,0.615268,0.0259716,0.0259716,,1.0,2.58,0,insufficient,
140,all,2026-09-02,4,4,1.95121,1.96437,0.615268,1.33594,1.3491,0.615411,1.0,2.58,0,beat,79.9
140,direct,2026-09-02,2,2,1.96437,1.96437,0.615268,1.3491,1.3491,0.203226,1.0,2.58,0,beat,76.1
141,all,2026-09-02,4,4,-0.0654819,-0.0104583,0.615268,-0.68075,-0.625727,0.281819,0.0,2.58,0,lag,36.0
141,direct,2026-09-02,3,3,0.0780379,0.0979947,0.615268,-0.53723,-0.517274,0.153312,0.0,2.58,0,lag,39.3
142,all,2026-09-02,2,2,1.06915,1.06915,0.615268,0.453884,0.453884,1.44002,0.5,2.58,0,beat,58.5
142,direct,2026-09-02,1,1,2.50917,2.50917,0.615268,1.8939,1.8939,,1.0,2.58,0,insufficient,
143,all,2026-09-02,3,3,0.803206,0.677902,0.615268,0.187937,0.0626333,0.645322,0.666667,2.58,0,beat,54.7
143,direct,2026-09-02,3,3,0.803206,0.677902,0.615268,0.187937,0.0626333,0.645322,0.666667,2.58,0,beat,54.7
144,all,2026-09-02,2,2,1.16503,1.16503,0.561887,0.603146,0.603146,0.702532,0.5,2.58,0,beat,61.7
144,direct,2026-09-02,1,1,1.86757,1.86757,0.508506,1.35906,1.35906,,1.0,2.58,0,insufficient,
145,all,2026-09-02,0,0,,,,,,,,1.58,1,insufficient,
145,direct,2026-09-02,0,0,,,,,,,,1.58,1,insufficient,
146,all,2026-09-02,3,3,0.257123,0.251519,0.305154,-0.048031,-0.0536348,0.355412,0.333333,1.58,1,mixed,48.9
146,direct,2026-09-02,2,2,0.473353,0.473353,0.305154,0.168199,0.168199,0.221834,0.5,1.58,1,beat,53.8
147,all,2026-09-02,5,5,0.935333,0.399717,0.305154,0.630179,0.094563,1.12969,0.6,1.58,1,beat,66.5
147,direct,2026-09-02,3,3,0.220655,0.251519,0.305154,-0.0844991,-0.0536348,0.160297,0.333333,1.58,1,lag,48.0
148,all,2026-09-02,0,0,,,,,,,,1.58,1,insufficient,
148,direct,2026-09-02,0,0,,,,,,,,1.58,1,insufficient,
149,all,2026-09-02,5,5,0.276293,0.0941369,0.305154,-0.0288605,-0.211017,0.409335,0.4,1.58,1,mixed,49.2
149,direct,2026-09-02,3,3,0.152771,-0.0409977,0.305154,-0.152383,-0.346151,0.388723,0.333333,1.58,1,lag,46.5
150,all,2026-09-02,0,0,,,,,,,,1.58,1,insufficient,
