technology_id,universe,as_of,n_companies,n_with_prices,cohort_mean_return,cohort_median_return,mean_benchmark_return,mean_excess_return,median_excess_return,dispersion,hit_rate,window_years,window_short,verdict,prediction_score
1,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
1,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
2,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
2,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
3,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
3,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
4,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
4,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
5,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
5,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
6,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
6,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
7,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
7,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
9,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
9,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
10,all,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
10,direct,2026-09-02,0,0,,,,,,,,25.58,0,insufficient,
11,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
11,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
12,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
12,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
13,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
13,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
14,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
14,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
15,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
15,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
16,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
16,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
17,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
17,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
18,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
18,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
19,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
19,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
20,all,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
20,direct,2026-09-02,0,0,,,,,,,,23.58,0,insufficient,
21,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
21,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
22,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
22,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
23,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
23,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
24,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
24,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
25,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
25,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
26,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
26,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
27,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
27,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
28,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
28,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
29,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
29,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
30,all,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
30,direct,2026-09-02,0,0,,,,,,,,22.58,0,insufficient,
31,all,2026-09-02,7,7,142.537,16.6388,5.38641,137.15,11.2524,264.434,0.571429,13.58,0,beat,79.4
31,direct,2026-09-02,4,4,242.831,98.3425,5.38641,237.444,92.9561,314.378,0.75,13.58,0,beat,77.9
32,all,2026-09-02,4,4,3.71331,3.90358,4.38665,-0.673335,-0.763709,3.4932,0.5,13.58,0,lag,35.9
32,direct,2026-09-02,2,2,3.90358,3.90358,5.38641,-1.48283,-1.48283,2.22314,0.5,13.58,0,lag,31.0
33,all,2026-09-02,0,0,,,,,,,,13.58,0,insufficient,
33,direct,2026-09-02,0,0,,,,,,,,13.58,0,insufficient,
