technology_id,universe,date,cohort,spy,sector,nasdaq,gold,oil
31,all,2013-02-01,100.0,100.0,100.0,100.0,100.0,100.0
31,all,2013-02-08,98.11,100.37,100.93,100.49,100.07,98.16
31,all,2013-02-15,99.26,100.58,102.05,100.13,96.48,98.22
31,all,2013-02-22,97.44,100.43,101.21,99.23,94.75,95.05
31,all,2013-03-01,97.91,100.58,101.24,99.59,94.42,92.62
31,all,2013-03-08,99.75,102.78,103.68,101.64,94.59,93.49
31,all,2013-03-15,99.1,103.49,103.36,101.49,95.39,95.05
31,all,2013-03-22,98.57,103.34,102.43,101.61,96.35,95.08
31,all,2013-04-01,98.12,103.64,101.91,101.48,95.8,98.1
31,all,2013-04-08,97.64,103.75,100.96,101.06,94.25,94.74
31,all,2013-04-15,98.01,103.02,100.78,101.56,81.33,89.08
31,all,2013-04-22,98.65,103.72,100.38,101.91,85.41,90.01
31,all,2013-04-29,103.63,105.8,105.05,104.01,88.14,95.08
31,all,2013-05-06,111.2,107.44,108.09,107.25,88.05,96.58
31,all,2013-05-13,115.56,108.61,110.04,108.35,85.74,95.79
31,all,2013-05-20,118.96,110.87,112.04,109.9,83.69,97.43
31,all,2013-05-28,117.46,110.45,111.23,109.46,82.68,95.59
31,all,2013-06-04,117.35,108.63,112.8,108.14,83.76,93.92
31,all,2013-06-11,116.87,108.32,110.71,107.68,82.53,95.59
31,all,2013-06-18,118.48,110.07,114.68,109.0,81.84,98.9
31,all,2013-06-25,114.82,105.87,110.5,104.38,76.48,95.45
31,all,2013-07-02,113.66,107.63,111.85,106.61,74.36,99.6
31,all,2013-07-09,114.82,110.25,112.75,108.62,74.71,104.02
31,all,2013-07-16,121.34,111.85,117.49,112.01,77.36,106.03
31,all,2013-07-23,113.55,112.93,115.67,110.36,80.34,107.75
31,all,2013-07-30,117.81,112.56,113.83,112.39,79.36,103.73
31,all,2013-08-06,117.24,113.32,114.79,113.77,76.79,105.97
31,all,2013-08-13,117.64,113.24,114.78,114.58,79.12,107.21
31,all,2013-08-20,116.27,110.55,110.85,112.47,82.04,106.14
31,all,2013-08-27,115.01,109.05,108.28,111.66,84.7,109.96
31,all,2013-09-03,113.92,109.76,110.8,112.79,84.5,109.65
31,all,2013-09-10,120.21,112.75,117.7,116.23,81.6,108.46
